bgg_id,best,recommended,not_recommended
379825,4,3,1
181083,7,4,1
294723,2,4,1
422179,1,1,1
192059,2,1,1
13715,2,1,1
229405,4,3,1
170337,3,1,1
454167,1,2,1
6478,1,1,1
420815,2,1,4+
5724,2,1,1
179,2,1,1
361387,1,1+,1+
92186,1,1,1
17967,5,4,1
379800,1,1,1
20643,5,1,3
1029,3,4,1
192283,5,3,1
140960,3,2,1
392397,3,4,1
34311,2,1,2+
151191,3,4,1
367514,1,1,1
213500,1,1+,1+
2503,4,2,10
31887,4,2,1
370910,3,2,1
37477,2,3,1
6611,2,1,1
289796,1,1+,1+
420572,1,1,1
402716,4,1,1
9204,2,1,2+
242900,7,4,1
279315,5,3,1
218637,1,1,1
11456,3,2,1
319294,3,2,1
364357,2,1,1
348534,4,1,4+
163688,2,1,1
339616,4,3,1
547,1,4,1
333693,3,2,1
167850,3,2,1
358621,4,2,1
19246,1,2,3+
20881,6,4,1
9018,2,1,4+
1307,2,2,1
111387,2,2,1
162578,2,1,1
298431,1,1,1
51624,0+,0+,0+
286310,2,1,1
17476,2,1,2+
285304,1,1,1
657,6,5,1
7129,2,1,2+
417748,1,2,1
335431,1,3,1
357192,2,1,1
173240,1,1,1
332155,4,1,1
340980,4,2,1
282027,3,2,1
26363,3,6,1
19908,1,1,1
72622,1,1+,1+
410945,4,3,1
319336,1,1,1
257045,4,5,1
444236,2,3,3
257680,7,4,1
300007,2,1,1
279057,1,1,1
88301,2,4,1
8960,6,4,1
150827,1,1,1
178053,4,2,1
225085,0+,0+,0+
5055,2,1,4
404495,4,3,1
420940,1,1,1
343837,1,3,1
69233,3,2,1
35040,2,3,4
59602,2,4,1
36790,6,4,1
282483,4,4,1
33663,2,1,1
321250,1,2,2+
286224,4,2,1
73245,2,1,2+
195271,1,1,1+
387079,1,3,7
145027,3,2,1
12455,1,1,1
152767,4,3,1
408622,1,1,1
265120,4,1,1
370077,2,1,3
41496,2,2,1
10776,2,1,1
379873,1,1,1
183677,3,2,1
248366,2,3,1
168383,1,1+,1+
84776,2,1,3
357323,1,2,1
261244,2,1,1
5875,2,1,5
9853,2,1,1
17183,3,2,1
235992,2,1,1
9062,2,1,2+
7815,3,4,1
63015,5,4,1
25045,2,3,1
340067,1,4,1
178266,4,3,1
233284,4,3,1
257073,4,2,1
352602,2,1,1
209566,1,1,1
30438,3,2,1
24025,2,1,1
123915,3,4,1
19735,4,4,1
16018,2,1,1
176642,4,2,1
9736,2,1,2+
2415,2,1,1
24186,3,2,1
8787,2,1,2+
403281,4,1,2
337416,1,2+,2+
342232,1,1,1
422121,4,1,1
373127,2,1,5
360264,6,5,1
1896,3,2,1
359504,1,1,1
3158,1,1,1
287672,1,1,1
131346,4,3,1
146094,4,3,2
288349,4,3,1
231368,1,1,1
8518,1,1,1
209322,2,1,1
21457,2,1,1
40179,2,4,1
90855,4,3,1
113252,2,1,2+
56208,2,1,2+
454527,3,3,1
325815,1,1,1
35207,5,4,1
304937,4,1,2
381240,6,1,6+
234834,3,2,1
291,4,6,3
362953,2,1,2+
338023,1,1,1
142158,3,2,1
32429,3,2,1
421362,3,2,1
367911,1,1,1
5226,2,1,2+
20630,1,1,1
29691,2,1,2+
201917,2,1,6+
20848,2,1,1
256536,4,3,1
19127,4,2,1
153939,3,2,1
11937,2,1,1
19554,1,1,1
35492,2,1,1
159384,1,1,1
355024,1,1,1
153723,4,2,1
9111,1,1,1
4060,3,4,1
268805,1,1,1+
5193,2,1,2+
111097,2,4,1
3249,2,2+,1
4010,2,2+,1
162974,1,1,1
190528,3,1,1
425745,3,4,1
287839,1,3,5+
11085,1,1,1
67542,2,1,1
423231,1,2,1
806,3,2,1
286236,1,1,1
186510,6,3,1
218842,4,2,1
299309,3,2,1
154243,4,3,1
16741,2+,1,1
21849,4,7,1
375903,4,2,1
151015,1,1,1
430524,1,2,1
244403,2,1,2+
333021,1,1,1
9843,2,1,2+
221766,2,1,2+
2319,4,1,1
152229,2,1,1
364622,2,4,1
319792,1,2,1
366133,1,1,1
173372,1,2,1
611,4,1,1
381910,4,1,1
359235,6,4,1
7141,2,1,2+
100275,1,2,1
8046,5,2,1
116194,1,1,1
420813,1,1,1
351098,3,4,2
60574,6,2,1
37099,2,1,1
25820,2,1,1
38784,1,1,1
121663,4,6,1
37755,4,2,1
404286,4,3,1
3500,3,1,5
41835,4,2,1
108679,4,3,1
9790,2,1,1
306868,4,3,1
6896,2,1,1
10605,2,1,1
457149,3,2,1
8979,0+,0+,0+
272683,4,3,1
119193,3,2,1
171663,2,1,2+
121195,4,2,1
329578,2,4,5
1297,4,2,1
420521,3,2,1
164022,2,1,2+
172598,5,3,1
155484,3,2,1
3916,1,1,1
245753,2,1,1
382903,3,2,1
355984,4,3,1
138729,3,4,1
235696,5,4,3
250284,4,3,1
1753,1,1,1
444195,1,1,1
286138,3,1,1
32346,4,2,1
166915,2,1,2+
4570,1,1,1
7506,2,1,2+
419328,1,1,1
166977,4,3,1
269749,1,1,1+
426362,3,1,1
143085,3,1,1
21036,2,1,1
237501,6,3,1
22202,1,2,1
406761,3,1,1
200314,4,3,5+
100278,4,3,1
348188,1,3,1
121043,4,1,1
263323,3,2,1
354924,1,1,1
13299,2,1,1
301946,3,2,1
290551,1,1,1
12577,6,3,1
35934,2,1,1
334233,3,2,1
86849,2,1,1
433380,1,1,1
282475,4,1,1
1952,1,1,1
292655,1,1,1+
319602,2,1,4+
208800,1,1+,1+
2563,5,3,1
312613,2,2,1
148592,4,3,1
6944,2,1,2+
130670,2,1,2+
418478,2,3,1
1210,5,4,2
26947,2,1,1
330307,3,2,6+
236577,3,1,1
6053,2,1,1
302207,1,1,1
409744,1,2,3
7995,2,4,1
68201,2,3,1
70116,2,1,1
120801,2,1,1
354242,1,1,1
200957,1,1,1
362636,2,1,1
346228,2,2,1
5893,1,1,1
149459,1,1,1
29736,4,4,2
73243,2,1,2+
8159,1,1,1
7368,2,1,1
443708,4,3,1
178154,3,3+,1
22407,4,2,4+
28253,2,1,2+
420564,1,2,1
121322,2,4,1
118627,1,1,1
3108,1,1,1
42900,2,3,1
1789,3,1,1
11127,2,1,1
321680,1,1,1
417492,4,2,3
38287,4,5,1
229172,1,4,1
182225,4,2,1
158267,6,2,1
447110,4,2,1
221398,1,1,1
916,2,2,1
2709,1,1,1
316972,3,2,1
3920,3,3,1
19634,2,2,1
147145,4,2,1
4983,4,2,1
92499,4,2,1
6268,1,1,2
7784,2,3,6
3674,2,1,1
421215,2,4,1
168485,2,1,1
265298,3,2,1
343129,1,2,2+
389112,2,1,2+
422855,1,5,1
316048,1,1,1+
362457,1,3,1
2304,4,3,1
360216,2,1,1
331549,4,2,1
271297,1,1,4+
260563,2,3,1
371415,4,3,2
361311,4,2,1
204407,7,5,1
23643,2,2,1
143841,2,1,1
264267,4,5,1
225481,1,2,1
24013,2,1,2+
14523,1,1,1
426162,1,1,1
451233,1,1,1
145897,6,3,1
129322,2,1,1
355247,2,3,4+
41148,1,1,1
331273,4,3,6+
160871,2,1,2+
232360,1,1,1
218988,1,1,1
137794,2,1,1
219208,1,1,1
32187,4,2,1
365652,5,4,1
158236,4,2,3
80942,5,4,1
428198,4,1,1
73242,2,1,1
783,4,3,1
261491,1,1,1
152629,2,1,1
365032,6,3,1
129952,1,1,1
298728,2,3,4+
250406,3,2,1
374996,1,4,1
104164,2,1,1
5194,2,1,1
99044,2,1,1
10304,2,1,2+
134884,2,4,1
1079,2,3,1
144486,1,4,1
14468,2,1,1
6995,2,1,1
12583,2,1,2+
231126,1,1,1
451844,4,2,1
21730,2,1,2+
338189,8,6,3
343313,3,2,1
255802,2,1,6+
276459,4,2,1
380550,2,2,1
256480,4,3,1
434140,4,3,1
6979,4,3,1
438932,5,4,1
294252,2,3,1
414777,4,3,1
23030,1,1,1
688,2,1,2+
174529,3,2,1
357118,4,3,1
412418,2,1,5+
4855,5,3,1
18647,5,4,2
359755,1,1+,1+
3528,4,3,2
4878,8,8+,1
396608,1,2,1
260033,1,2,1
23521,2,3,1
334239,4,1,1
216367,2,1,1
204496,1,1,1
41354,4,4,1
146747,4,3,1
406324,2,3,1
381700,2,1,1
79312,4,3,1
242317,1,3,6+
13017,2,2,1
280821,2,1,1
2889,5,3,1
649,5,4,1
230792,1,1,1
16268,4,3,2
393304,2,1,5+
391839,1,1,1
370226,1,1,1
7921,2,1,1
144802,2,1,2+
182736,4,3,1
93555,3,4,5
120781,6,4,1
287410,1,2,1
27852,4,1,1
34692,4,3,2
10584,2,1,1
14102,4,6,1
121031,2,1,1
11512,2,1,2+
287895,3,2,1
38334,2,1,1
10780,1,1,1
2384,1,2,4
368294,3,1,4+
42493,1,2,1
5704,3,4,1
157838,1,1+,1
266744,3,4,1
326970,1,1,1
356997,1,1,1
149332,3,2,1
7526,2,1,1
284585,1,1,1
9496,2,1,1
283259,4,2,1
226237,3,1,5+
1650,3,2,1
313539,1,1,1
220333,1,4+,1
381996,2,1,3
209225,3,2,1
439711,4,5,1
284074,4,1,4+
240869,3,2,1
129326,2,1,1
28429,2,1,2+
377631,1,1,2+
253568,5,4,1
434143,1,2,1
338882,2,1,1
10836,1,2,1
144420,1,1,1
344332,4,3,1
155577,1,1,1
417721,1,1,1
130202,2,1,1
327509,2,1,1
21987,1,1,1
365714,4,1,1
185302,4,3,1
295951,1,1,1
188292,2,1,1
190104,1,1,1
277892,1,1+,1+
159573,4,2,1
164201,1,1,1
1993,2,3,1
8331,2,1,1
375695,2,2,3
242548,3,2,1
403209,4,2,1
184460,3,2,1
160614,4,7,1
257725,3,2,1
50560,2,1,1
20732,5,6,1
427338,6,3,1
86754,4,3,2
173121,4,3,1
340122,5,3,1
203958,1,1,1
19186,1,1,1
263089,5,3,1
84017,2,2,1
329024,1,1,1
192984,4,5,1
251848,2,1,1
231872,2,4,1
226596,1,1,1
291440,1,1,1
209320,2,1,1
343507,2,3,5
439708,3,2,1
103016,1,1,1
425226,2,1,1
132085,2,1,1
73240,2,1,1
219502,5,4,1
222913,4,3,2
402673,5,3,5+
6897,2,1,2+
11790,1,2,1
137780,5,3,1
37770,3,4,1
174218,2,1,1
251137,2,1,4+
63497,5,3,1
15430,2,1,2+
257743,1,1,1
256967,4,3,1
10014,2,2+,1
433285,3,2,1
39375,1,2,5
40198,4,1,1
1277,2,1,1
70451,4,2,2
260334,3,2,1
98780,2,1,1
178984,1,1,1
12672,4,7,2
16875,2,1,1
300420,2,2,1
13871,2,1,1
300996,5,4,1
123689,2,1,1
11534,2,1,1
13547,1,1,1
134279,4,3,1
183344,3,2,1
1580,4,3,1
18936,4,3,4+
2372,2,1,1
146999,4,2,1
14842,2,1,1
64657,5,3,1
171862,1,1,1
243437,4,3,1
221832,2,1,1
434285,1,1,1
370963,1,2,1
373991,4,5,1
309632,1,1,1
150582,1,1,1+
316700,1,1,1
382065,1,1,1
393939,1,1,1
138799,2,2,3
14137,4,3,1
318080,2,1,4+
157995,3,2,1
13885,2,1,1
376612,4,3,1
379921,4,3,1
385966,2,2,1
15159,1,1,1
9389,2,1,4
3928,1,1,1
170203,2,1,1
413170,4,3,1
3247,4,2,1
80833,4,2,1
125547,6,4,5
365840,3,2,1
3947,3,5,1
225991,1,1,1
12743,2,1,2+
363671,2,1,4+
6988,2,3,4+
203884,5,3,1
4437,2,3,1
257994,4,3,1
9907,2,1,1
317610,1,1,1
173408,4,1,1
317720,3,1,1
46925,4,3,1
179813,2,3,1
371031,1,2,1
408769,2,1,2+
349,4,3,1
351646,3,2,1
345069,3,1,4+
302255,3,2,1
109786,2,1,1
305855,4,2,8+
285105,4,1,1
6842,1,1,1
161429,6,3,1
2733,4,3,1
269564,6,5,1
203215,4,2,1
200825,2,6,3
604,4,1,1
168376,4,2,1
17787,3,2,1
180,3,5,2
13361,1,1,1
174128,1,4,1
358924,1,1,1
4273,1,1,1
382647,1,1,1
5167,1,2,1
275857,1,2,1
5994,2,1,1
439686,1,1,1
36751,0+,0+,0+
23404,1,1,1
42470,4,1,2
125436,3,2,1
103236,4,2,1
275982,1,1,1
153724,3,2,1
369803,1,2,1
280148,4,2,1
439971,4,2,2
324427,2,1,2+
420281,1,1,1
277334,6,4,1
20510,1,1,1
510,4,3,1
29639,3,2,1
11056,2,1,8
290557,1,1,1
176634,6,8,1
223332,5,4,1
15676,2,1,1
288526,10,4,1
326475,4,2,1
488,4,2,2
325856,1,1,1
40102,2,1,2+
42275,2,1,2+
306677,1,1,1
259112,1,1,1
26033,5,4,1
56406,6,4,1
371852,3,4,1
267301,4,3,1
287658,1,1,1
260266,4,1,1
174943,2,3,1
36413,1,4,1
347303,1,1,1
383508,1,1,2
1468,4,8,1
435323,4,3,1
7241,2,1,2+
86025,4,3,1
25477,2,1,2+
4894,4,6,1
274339,3,1,1
199030,1,1,1
291773,2,1,1
271554,1,1,1
316044,1,1+,1+
209014,4,3,1
66611,5,3,1
69347,2,1,1
435959,1,1,1
223222,4,3,1
431695,5,3,6+
151801,4,3,1
2137,2,1,1
221938,4,6,2
422373,1,1,1
105305,2,3,1
379981,1,1,1
163062,2,3+,1
248443,3,4,1
58003,3,5,5+
145586,4,2,1
413009,1,1,1
1167,1,1,1
327612,4,2,4+
856,4,2,2
1310,3,2,2
316973,4,2,1
375316,10,7,1
291100,1,1,1
404822,4,1,5
73238,2,1,1
218044,2,1,2+
352684,4,5,1
85474,3,2,1
530,5,3,1
356559,1,1,1
444029,3,7,1
183511,2,1,3
292,4,3,2
9207,2,1,1
175921,2,1,1
124992,3,4,4+
73241,2,1,2+
82397,5,2,2
192235,3,1,6+
1091,1,1,1
6054,2,1,4+
29106,1,1,1
357079,2,1,1
330533,3,2,1
285223,2,4,1
447843,1,1,1
175313,2,1,1
171494,3,4,1
32358,1,1,1
8434,4,2,1
166246,1,2,1
413249,1,1,1
18870,2,1,1
10386,2,3,1
187673,3,2,1
446878,2,5,1
19351,1,1,1
350718,1,2,1
1012,3,3,1
360177,1,2,1
124856,5,3,1
7683,2,1,1
257814,4,3,1
382833,1,1,1
1504,4,3,1
5743,1,1,1
187769,1,1,1
3716,2,1,1
295758,4,2,2
218905,2,1,1
163687,1,1,1+
8728,4,3,1
249658,3,5,1
34291,3,2,6+
1346,3,1,1
251688,4,3,1
365672,1,1,1
313540,1,1,1
198086,2,1,1
35546,2,1,2+
218913,1,1,1
454519,3,2,1
1076,1,2,1
2299,1,1,1
40006,1,1,1
42499,3,4,1
232501,4,3,1
162654,4,2,1
425693,3,1,4
236485,3,2,4+
4740,2,1,5
7986,1,1,1
7847,2,1,2+
163963,2,1,1
275349,3,4,1
165417,4,2,1
235455,4,2,1
1557,4,3,1
14013,3,2,1
310833,1,1+,1
143983,6,4,1
2207,4,3,1
224662,1,1,1
421049,1,1,1
135598,0+,0+,0+
4677,2,1,1
177076,1,1+,1+
25246,1,1,1
269504,4,2,1
337390,1,1,1
233144,4,3,1
9233,2,1,1
94916,1,1,1+
448224,2,2,1
519,3,2,1
251253,5,4,1
2149,5,3,1
85948,2,1,1
10898,2,1,2+
334282,2,3,1
57052,4,3,1
378506,1,1,1
98046,5,4,3
266652,3,2,1
281680,4,2,1
175920,2,1,2+
328553,3,2,1
283076,4,2,1
405696,4,2,2
171889,4,3,1
342940,2,2,1
7216,2,1,1
8043,1,1,1
188198,4,3,2
285112,1,1,1
104798,2,3,1
21437,1,1,1
84991,1,1,1
325628,4,3,1
411571,1,3,1
382774,2,2,1
206437,3,1,1
335155,1,2,1
216301,5,3,1
339605,3,2,1
787,4,1,1
176887,4,3,1
5059,2,2+,1
198060,2,2,1
346442,3,2,1
312529,5,4,1
339294,1,1,1
140593,2,1,2+
311658,4,4,1
446852,3,4,1
67037,4,2,1
335204,6,1,1
182136,1,1,1
75937,2,1,1
33208,6,11,1
276641,1,3,2
107604,8,6,1
200407,6,3,1
43144,3,2,1
20828,2,1,1
276500,8,5,1
3159,3,2,1
240844,3,2,1
366788,4,3,1
126708,2,1,2+
7386,2,1,2+
224039,2,4,1
165190,5,4,1
401242,3,1,4+
12046,2,1,3+
175778,4,3,1
7307,3,2,1
37103,2,1,1
175086,1,4,1
104558,1,1,1
449024,4,3,1
350749,1,4,1
24079,2,2,4+
369986,3,2,1
302463,6,4,1
102698,4,2,1
9564,2,1,1
236199,3,4,1
7366,2,1,1
447137,1,2,3
5877,3,2,1
133992,0+,0+,0+
290745,1,1,1
1077,1,1,1
417804,1,1,1
446876,2,1,1
149705,4,2,1
284862,1,1,1
22614,4,6,1
117582,2,1,1
341427,1,1,1
160608,3,2,1
130015,2,1,1
36431,1,1,1
27751,3,1,1
267802,1,1,1
26080,4,1,1
431107,3,1,1
5120,2,4,4+
198778,2,1,1
399896,3,2,6
25772,6,2,1
31401,6,4,1
177209,4,3,1
400097,1,1,1
241036,4,1,1
218590,4,2,1
448441,1,1,1
94456,6,2,1
284948,2,1,2+
232348,6,4,2
86433,1,4,1
279268,4,3,1
218923,6,4,1
113337,6,7,8+
10265,2,1,2+
99062,0+,0+,0+
369816,1,1,1
31180,2,1,2+
194966,3,3,1
243075,1,2,1
2159,4,3,1
158163,1,1,1
84864,3,2,1
153119,2,1,1
15066,2,1,1
6125,2,1,3+
441009,1,1,1
244269,4,2,1
309250,2,2,1
4971,2,1,2+
7464,2,2,1
1680,1,1,3
314350,1,1,1
297386,1,4,1
16355,4,3,1
8749,1,2,1
245385,2,1,1
364990,1,3,3+
341546,2,1,4+
1719,2,1,1
36412,2,1,2+
346927,2,1,7
386888,1,1,1
315584,4,2,2
38390,4,3,1
106631,4,2,1
47994,2,3,1
434136,4,5,1
323290,1,1,1
261329,4,3,1
1571,3,1,2
2160,2,2,1
30370,4,3,1
6346,2,1,2+
110570,4,3,1
11289,2,1,2+
2676,1,1,1
11525,4,3,1
32253,2,3,1
9345,1,2,1
299251,2,1,1
2400,4,1,1
26582,2,2,1
94123,2,4,1
116735,2,1,2+
314043,3,2,1
251060,3,2,1
11027,4,2,1
410240,2,1,1
4316,5,2,1
31556,2,1,2+
187197,1,1,1
35508,2,1,2+
24189,2,1,4
456547,6,2,1
5396,6,3,1
363343,1,1,1
453995,1,1,1
309709,6,5,1
258610,3,4,1
335819,4,2,1
365551,1,1,1
196634,1,1,1
10403,1,1,1
435885,1,1,1
245240,4,2,1
505,3,2,1
231587,2,2,1
452799,1,1,1
25448,2,1,1
255608,1,1,1
12811,2,1,1
427232,1,1,1
138682,4,3,4+
284895,1,2,1
1004,4,3,2
192722,1,1,1
243757,4,1,6
164778,3,2,8+
56195,3,2,1
214970,3,2,1
200888,1,1,1
437500,5,2,1
359171,1,4,4+
288346,1,4,1
421328,4,3,1
7182,3,2,1
94476,1,1,1+
278142,2,1,1
357676,1,1,1
38865,1,1,1
144961,2,1,1
178038,1,4,1
104547,2,1,2+
430646,2,1,1
24280,2,3,1
421895,4,3,1
396333,3,2,1
139374,4,3,1
96564,2,1,1
84453,1,1,1
5437,2,1,1
324190,2,1,2+
134618,3,2,1
14324,2,1,1
409501,1,1,1
3643,1,2,1
35254,6,4,1
405718,1,6,1
166521,2,3,1
156836,6,6+,1
339165,3,1,2
67034,5,4,3
5927,2,1,2+
341548,1,2,1
170583,2,1,1
244506,4,2,1
3245,2,1,2+
334565,2,1,1
182137,1,1,1
266286,1,1,1
392097,1,1,1
16272,2,1,2+
22266,4,3,1
156406,6,4,1
235249,4,2,4+
9152,2,1,2+
244913,2,2,1
7795,2,1,2+
500,4,3,1
189685,3,2,1
433317,1,1,1
64520,1,1,1
329019,2,1,2+
178595,5,7,1
261112,1,1,1
55828,4,2,1
165640,1,1,1
241733,4,2,1
291389,4,2,1
146245,4,3,1
419502,4,3,1
327725,1,1+,1+
139026,1,1,1
26353,6,8,1
4300,2,1,3+
271443,1,1,1
343122,1,1,1
438736,1,1,1
3370,2,1,1
182400,5,6,1
448865,1,1,1
36554,4,2,1
1688,4,2,1
23212,6,3,2
345087,2,3,1
279996,2,1,2+
3970,2,1,1
31935,3,2,1
367829,2,1,2+
12018,2,1,2+
39998,2,3,1
35763,4,2,1
10326,1,1,1
199799,2,3,5
344273,1,2,1
259342,3,1,4+
5380,4,3,1
101539,2,1,2+
13316,2,1,1
245086,1,2,1
160470,1,1,1
12569,2,2+,1
170867,4,2,1
220980,3,2,1
376555,4,2,1
162038,1,1,1
80869,4,3,2
158818,1,1,1
303540,4,3,1
6938,2,3,1
162727,4,2,1
275085,1,2,1
16471,1,1,1
145274,1,1,1+
156453,4,2,1
349173,4,3,1
8426,3,2,1
41305,2,4,1
3099,2,1,2+
39492,2,1,1
39787,1,1,2
286666,3,4,1
397613,1,4,7
274527,3,2,1
35054,3,4,5+
165889,5,4,1
6044,2,1,1
235830,2,1,3
341425,1,1,1
11124,2,1,1
104769,4,3,1
70912,4,3,1
448189,4,2,1
18083,4,2,1
383444,2,1,5
155201,1,1,1
420764,3,2,1
98352,4,5,3
286632,2,4,1
286110,2,1,1
262234,3,5,6
238932,3,2,1
374108,1,5,1
29676,5,4,1
64877,4,1,1
1268,6,5,1
427340,4,2,1
1953,4,3,1
231196,3,1,1
226358,1,1,1
5350,2,1,1
180133,1,1,1
240134,1,1,1
224680,6,3,1
218534,4,3,1
363771,1,2,1
422611,3,1,1
26918,2,1,2+
424575,5,4,1
250975,1,1,1
423830,2,1,1
68504,4,6,8+
2040,2,1,1
17682,2,1,2+
448257,2,1,5
3129,3,2,4
440149,1,1,1
8168,2,1,2+
4139,2,1,2+
342,2,1,1
34948,2,1,1
381349,3,2,1
3677,2,1,2+
383177,2,3,1
315625,1,1,1
151416,1,1,1
280482,2,1,1
217378,5,1,1
150971,4,2,1
353455,2,3,1
4593,4,1,1
225979,1,1,1
391130,4,3,2
15213,2,1,2+
202223,5,4,1
20240,2,2,1
89898,6,7,1
327134,4,2,1
51590,2,1,2+
207351,1,1,1
180238,1,1,1
42279,3,2,1
346958,4,2,1
5870,1,1,1
2694,4,2,1
129031,2,4,1
6460,4,2,1
224999,4,3,1
14975,2,1,2+
382127,3,1,1
147136,5,3,1
6578,3,2,1
11125,2,1,1
270327,1,1,1
407965,4,2,4+
256621,3,4,2
237130,1,1,1
419259,2,1,1
348326,4,2,1
12267,3,5,1
209946,2,1,1
430446,1,1,1
5669,2,1,1
64656,4,3,2
42257,2,4,4+
208419,4,1,2
9869,2,1,2+
52040,2,1,2+
312541,4,1,1
104121,2,1,3
13996,2,1,2+
224920,1,1,1
267418,1,1,1
410626,2,4,4+
327485,3,6,1
242546,2,1,1
375448,4,2,1
253677,6,5,1
323385,4,3,2
879,4,3,1
212688,2,4,1
217095,1,3,1
361872,2,1,2+
107420,1,1,1
25795,2,3,1
60895,1,1,1
27227,1,1,1
279527,2,3,4+
250531,1,1,1
52827,2,1,1
148430,4,2,1
137606,7,4,1
253835,1,1,1
32047,5,3,1
313956,4,1,1
12776,2,1,2+
20954,4,4,1
378922,2,1,1
26124,2,4,4+
159455,1,1,1
433378,2,3,1
300091,1,1,1
239165,2,1,1
2597,4,2,1
185288,3,5,3
60158,1,1,1
256526,4,3,1
223892,4,2,1
316915,1,1,1
90375,4,5,2
9181,2,1,1
425079,6,4,1
330111,3,1,1
3620,1,1,1
7140,1,1,1
3457,1,1,1
272697,4,2,1
41788,2,1,1
420930,4,3,1
19793,3,2,1
219661,2,2,1
164670,4,2,2
341433,4,3,1
30286,2,1,1
228724,4,1,2
40911,2,1,1
364653,1,1+,1+
8132,2,1,2+
362503,1,1,1
7026,2,1,2+
346538,1,3,1
3540,2,1,1
12506,2,2,1
269667,1,1,1
5757,2,1,1
36947,1,1,1
204141,3,4,2
32688,4,2,1
200871,3,2,4+
269048,2,1,4+
251677,1,1,1
412,1,4,1
1173,5,3,1
63671,1,1,1
22990,2,1,5
209275,2,1,1
17958,4,2,1
172558,1,1,1+
6921,2,1,1
398769,1,1,1
164202,2,1,1
4554,2,2,1
230063,2,2,1
264011,3,5,1
5135,6,4,1
368905,2,1,1
241021,1,1,1
135213,2,3,4
21879,2,1,1
20710,2,1,2+
261738,1,2,5
192268,1,1,1
151070,4,3,1
9211,1,1,1+
311308,1,4,5
349464,4,3,1
20204,4,1,2
5197,1,1,1
175742,4,5,1
319307,1,1,1
140097,0+,0+,0+
258751,1,1,1
426547,2,1,1
325676,4,3,2
255732,3,1,1
367558,2,3,1
8848,2,2+,1
47408,2,4,1
249299,2,1,1
35163,4,3,1
37307,1,1,1
325670,4,3,1
57458,4,3,1
148280,1,1,1
272325,1,3,4+
302385,1,1,1
6566,1,1,1
91440,3,5,1
180570,2,1,1
6912,4,1,1
10783,4,4,1
401968,4,2,1
18580,3,2,1
165585,1,1,1
12679,1,1,1
255080,1,1,1
302244,4,3,1
4013,2,1,2+
181291,2,1,1
10893,3,2,1
138015,1,1,1
24288,2,1,2+
18475,0+,0+,0+
326480,4,1,1
256875,4,2,1
4537,2,3,5
271017,4,3,1
436787,1,1,1+
347504,1,1,1
120444,2,2,2+
256502,4,3,1
291381,1,1,1
26424,2,1,2+
150691,3,2,4+
417352,4,3,1
31604,2,1,2+
148434,4,3,1
127646,6,3,1
32784,2,2,1
20953,4,3,1
180824,2,3,1
30081,1,1,1
290734,2,2,4
446669,1,1,1
449871,4,3,2
368311,4,1,1
378352,3,1,1
257064,4,2,1
429900,3,1,1
344123,1,1,1
313541,1,1,1
356962,2,1,6
100015,6,4,1
95745,1,1,1
11482,2,1,2+
245611,2,1,2+
173253,1,1,1
7948,2,1,2+
30945,2,1,1
372973,1,1,1
18023,2,1,2+
36510,2,2,1
262390,1,1,1
245376,3,2,5
117558,2,1,1
432823,4,2,1
112445,4,3,1
225740,2,4,1
112745,2,2,1
342246,4,6,8
40171,4,3,1
276629,2,1,1
220124,4,3,1
340637,4,1,1
401767,4,3,1
84778,1,2,1
446695,3,4+,1
126213,5,3,1
350431,1,1,1+
8405,2,1,1
277400,4,2,1
781,6,1,1
24020,1,1,1
7060,2,1,2+
260749,3,2,1
1793,2,1,2+
351818,4,5,3
92015,2,1,1
315677,1,1,1
14077,2,2+,1
154681,3,3,1
370439,1,2,1
8965,2,1,3
247009,4,3,1
417630,2,2,1
309100,1,1,2
183649,4,3,1
201973,0+,0+,0+
302135,2,1,1
309377,3,2,1
73233,2,1,2+
227150,1,1,1
6879,2,3,1
93402,4,2,1
104285,0+,0+,0+
287456,4,2,1
83861,4,3,2
406750,4,2,1
11562,2,1,2+
397224,5,3,1
254632,4,3,1
135327,1,1,1
194249,1,1,1
6774,2,1,2+
310476,3,2,1
155440,2,1,2+
311323,6,4,1
417978,2,1,1
11446,6,4,1
22392,6,4,1
43802,1,1,1
188783,2,1,1
124598,2,3,1
247324,3,2,1
455548,4,2,1
8408,2,1,1
421254,2,1,4+
180910,4,2,1
11131,2,1,1
11888,2,1,1
170423,8+,5,1
209053,4,3,1
323377,4,8,1
444024,2,1,1
67112,2,2,1
285623,2,4,1
175867,4,6,1
30164,2,4,1
68251,2,1,1
36332,2,3,1
12963,5,3,2
74203,3,2,1
109936,4,2,1
424196,4,3,1
341426,4,2,5+
282,4,3,2
3790,3,2,1
650,4,7,1
666,4,2,1
432322,3,5,2
229703,4,2,1
164975,3,2,1
93997,3,2,1
118501,4,2,4+
133637,4,3,1
340396,4,1,1
322052,2,1,1
422883,1,2,3
264997,1,4,1
147616,1,1,1
1348,6,3,1
271727,4,3,1
37612,5,8,1
75877,4,3,1
29415,2,3,1
304736,1,1,1
97582,0+,0+,0+
20514,2,1,2+
84230,4,3,1
358752,2,3,1
25476,2,1,2+
160430,4,3,1
93575,3,2,1
82223,4,2,1
340029,3,2,5
253803,1,1,1
397352,1,1,1
358666,1,1,1
353155,1,1,1
378271,3,2,1
792,1,1,1
21269,2,2,1
392146,4,1,6+
73230,2,1,2+
298193,1,1,1
229910,3,5,1
126471,2,1,1
299574,2,5,1
